time,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r
35.82,10.0223698697317,-5.37013790567455,-1.87971657736284,-16.3724182418159,13.0954834549842,-0.597384025914816,51.8718966545446,-0.318856499997993,-8.45077460462647,-75.0545259102511,25.8771516848737,6.90540118325765
35.825,9.88556050779622,-5.54575591208956,-1.82381584681456,-16.2429654220478,13.1404114396283,-0.611228733108017,52.0436367298623,-0.15563929379387,-8.48128970116917,-74.1943497011584,25.8627307809209,6.99398526611627
35.83,9.75742400672857,-5.71015929093663,-1.76244346624159,-16.1373444185422,13.1937788251127,-0.635749217887242,52.1891782042545,0.00726978876053745,-8.50039318767677,-73.3467584120023,25.8351615886382,7.07642942910352
35.835,9.63635293738271,-5.86342398805987,-1.69574554838738,-16.0540049619004,13.2551016193601,-0.671310882865897,52.3085960035911,0.170229929476656,-8.50842753120362,-72.5160975580719,25.7949948489922,7.15307477148101
35.84,9.52066053604316,-6.00576449491032,-1.62412997009353,-15.9912701840194,13.3238880850201,-0.717980805834006,52.4020360424664,0.3336263435706,-8.50586120491399,-71.7064620862782,25.7429095533592,7.22375203859217
35.845,9.40860905960022,-6.13753735973559,-1.54826388842958,-15.9473541472491,13.399626127803,-0.77551329757255,52.4697192314728,0.497869167535368,-8.49328180420015,-70.921652963397,25.6797029302898,7.28778424278232
35.85,9.29844090161697,-6.25924173386447,-1.46906437946405,-15.9203817104759,13.4817679311458,-0.84334191116186,52.5119453875605,0.663390598823402,-8.47138629725528,-70.1651362380721,25.6062796502277,7.34400830671784
35.855,9.18841192263438,-6.37151669614132,-1.38768210809291,-15.908410638,13.5697122475933,-0.920578202311029,52.5290968133623,0.830640135781771,-8.44096863800845,-69.4400053599857,25.5236405513246,7.3908145392749
35.86,9.07682636467606,-6.47513518151871,-1.30547813581102,-15.9094558051623,13.6627848748598,-1.006017379632,52.5216412979348,1.00007784412661,-8.40290504178951,-68.7489475016312,25.4328711304952,7.42620223145432
35.865,8.96207264785608,-6.57099442932381,-1.22399418146141,-15.9215153012253,13.760217953047,-1.09815081573914,52.4901342876316,1.17216565887021,-8.35813728369686,-68.0942145742745,25.3351299797945,7.44784920074222
35.87,8.84265928921233,-6.660102961838,-1.14491686054647,-15.9425981769969,13.8611288150054,-1.19518521884592,52.4352199816989,1.34735681556514,-8.30765442640022,-67.4775995600892,25.2316372825596,7.45319272950368
35.875,8.71725014308718,-6.74356420358667,-1.07003663406126,-15.9707535340475,13.9644992006221,-1.29506809465852,52.3576311223666,1.52608358966901,-8.25247341853237,-66.900418697543,25.1236634200037,7.43951904656845
35.88,8.58469814092738,-6.8225569541105,-1.00120239048334,-16.0041006058763,14.0691557044915,-1.39551896437316,52.2581872734728,1.70874360498785,-8.19361902711744,-66.3634999580281,25.0125176805297,7.40405829856156
35.885,8.44407670834517,-6.89831302862379,-0.940272757299146,-16.0408594406547,14.1737523617816,-1.49406565086214,52.1377914150305,1.89568504812879,-8.13210357728617,-65.8671781404449,24.8995370143547,7.344081853235
35.89,8.29470806049515,-6.97209247732051,-0.889065384620823,-16.0793817617336,14.276756286185,-1.58808480574515,51.9974247239201,2.08719119172309,-8.06890696903421,-65.4112967897523,24.7860747384595,7.25699877265102
35.895,8.13618762467589,-7.04515688005852,-0.84930555726745,-16.1181815573791,14.3764372539929,-1.67484572883141,51.8381394633885,2.28346468077738,-8.00495742311123,-64.9952170187217,24.6734890744063,7.14044838812483
35.9,7.96840391191606,-7.11874128452624,-0.822575568382613,-16.1559649362941,14.4708620777608,-1.75155643277081,51.661049965865,2.48461207084412,-7.94111337614646,-64.6178331825633,24.5631313961146,6.99238609664682
35.905,7.79155325568528,-7.19402541120062,-0.810266323528799,-16.191658780823,14.5578945313881,-1.81541083546357,51.4673217627756,2.69062912319365,-7.87814690038238,-64.2775952262797,24.4563340761402,6.81115977178048
35.91,7.6061489522316,-7.27210478897156,-0.813532636594759,-16.2244377349894,14.6352014769226,-1.86363592793689,51.258158987642,2.90138736296109,-7.81672896950444,-63.9725373960773,24.3543978450277,6.59557452893401
35.915,7.41302446842494,-7.35396251430117,-0.833253626148273,-16.2537490788212,14.7002657042925,-1.89353777276846,51.0347902497343,3.1166223947384,-7.75741683380758,-63.7003128800501,24.2585786152199,6.34494399092852
35.92,7.21333052426983,-7.44044234614792,-0.869999522389106,-16.2793350627747,14.7504058311392,-1.90254524183922,50.7984532403039,3.33592444873111,-7.70064370968819,-63.4582338213154,24.1700737653226,6.05912664951874
35.925,7.00852600422156,-7.53222385770327,-0.924006051008835,-16.3012523056605,14.7828034238549,-1.88825050224317,50.5503783890051,3.55873159955256,-7.64671093284469,-63.243316031651,24.0900079299455,5.73854639736759
35.93,6.80036280088004,-7.62980036079197,-0.995157372939717,-16.3198878955637,14.7945372962109,-1.84844540165802,50.2917719334978,3.78432605727339,-7.59578267237929,-63.0523276293,24.0194183937733,5.38419679972966
35.935,6.59086484369221,-7.73346029525305,-1.08297833196916,-16.3359718750506,14.7826247231018,-1.78115308278231,50.0237988004259,4.01183387437614,-7.54788325383068,-62.8818407350818,23.9592402450678,4.99762917333016
35.94,6.38230171081818,-7.84327273013593,-1.18663650121062,-16.3505858383928,14.744069079725,-1.68465436235626,49.7475657211843,4.24022834143122,-7.50289709237943,-62.728285289969,23.910291501957,4.58092502921956
35.945,6.1771573605828,-7.959077553963,-1.30495423174179,-16.3651674183091,14.675913187912,-1.55750863430718,49.4641050208724,4.46833725837591,-7.46057119267744,-62.5880040077548,23.8732584820892,4.13665390400822
35.95,5.9780946454551,-8.08048083738016,-1.43643060111569,-16.3815104913112,14.5752974290391,-1.39856928778151,49.1743595226293,4.69485416845504,-7.4205201290437,-62.457307450197,23.8486817388953,3.66781803602221
35.955,5.78791638087346,-8.20685573534814,-1.57927284640771,-16.401760982484,14.4395214749822,-1.20699385703473,48.8791690002868,4.91835353138119,-7.38223337968084,-62.332528209781,23.8369429312664,3.177785723695
35.96,5.6095238277012,-8.33734916188735,-1.73143655806214,-16.4284082008935,14.2661083029012,-0.982249328734921,48.5792585876614,5.13730969620932,-7.34508485189247,-62.2100732065868,23.8382530231345,2.67021551606553
35.965,5.44587350594194,-8.47089432347632,-1.89067361967961,-16.4642716846924,14.0528690037905,-0.724113211623897,48.2752295113018,5.35011941849628,-7.30834440268589,-62.0864731496415,23.8526422216291,2.14897361573885
35.97,5.29993328610065,-8.60622904228156,-2.05458661674832,-16.5124835800414,13.7979667757012,-0.432671114326149,47.9675524553926,5.55512755528635,-7.27119113088227,-61.9584282783283,23.8799520555187,1.61804701600007
35.975,5.17463870300736,-8.74191964142402,-2.22068821398025,-16.5764666204025,13.4999784168727,-0.108311672617786,47.6565637947407,5.75065546864849,-7.23272819282627,-61.8228495844993,23.9198299694638,1.08145494594964
35.98,5.07285040619068,-8.87639000514979,-2.38646382417385,-16.65990781311,13.1579516075796,0.248280286822514,47.3424648472112,5.93503157630038,-7.19199887381507,-61.6768948190524,23.9717267646833,0.5431611651229
35.985,4.99731360299955,-9.00795527097539,-2.54943576744999,-16.7667279790084,12.7714562968181,0.636131465471037,47.0253242038273,6.1066234083569,-7.14800363137536,-61.5179987055182,24.0348971538266,0.00698953907626527
35.99,4.9506202685651,-9.13485946265568,-2.70722705264384,-16.9010473290685,12.3406285931265,1.05398787183226,46.7050830966359,6.26387046417921,-7.09971781447423,-61.3438969148343,24.1084036191191,-0.523454850999988
35.995,4.93517479444379,-9.25531623608642,-2.85762290504378,-17.0671473000776,11.8662056967962,1.5003219424942,46.3815636655853,6.40531711392571,-7.04610975458321,-61.1526434969536,24.1911236719839,-1.04485704711903
36,4.95316363029339,-9.36755178892726,-2.99862821714534,-17.2694289105714,11.3495505990625,1.97333843465044,46.0544798906132,6.52964475671257,-6.98615892015895,-60.9426216130117,24.281760514542,-1.55425426468578
36.005,5.00652934532411,-9.46984888311214,-3.12851921054727,-17.5123679387803,10.792665505254,2.47097870081781,45.7234508681746,6.63570243248179,-6.91887382565509,-60.7125475629332,24.3788570044113,-2.04908723100555
